nm0194945,Jehanne d'Alcy
nm0617588,Georges Méliès
nm0302368,Donald Gallaher
nm0001908,Gilbert M. 'Broncho Billy' Anderson
nm0007625,A.C. Abadie
nm0692105,Edwin S. Porter
nm0131750,Walter Cameron
nm0002615,Siegmund Lubin
nm0098376,Hobart Bosworth
nm0091767,Francis Boggs
nm0675544,Thomas Persons
nm0448682,Charles Kent
nm0007221,Maurice Costello
nm0710362,William V. Ranous
nm0085865,J. Stuart Blackton
nm0877550,Florence Turner
nm0142567,Louise Carver
nm0659947,Paul Panzer
nm0601698,Owen Moore
nm0456804,James Kirkwood
nm0424530,Arthur V. Johnson
nm0642722,Anthony O'Sullivan
nm0000428,D.W. Griffith
nm0226992,Edward Dillon
nm0409390,Charles Inslee
nm0038106,Linda Arvidson
nm0043018,Charles Avery
nm0502701,Marion Leonard
nm0842239,Blanche Sweet
nm0629589,George Nichols
nm0401967,William Humphrey
nm0041669,Florence Auer
nm0298301,Mary Fuller
nm0152323,Charles Chapman
nm0182537,Dolores Costello
nm0182557,Helene Costello
nm0626131,Alberto Nepoti
nm0266080,Ugo Falena
nm0094801,Mario Bonnard
nm0784407,Mack Sennett
nm0401368,Gladys Hulette
nm0376396,Dell Henderson
nm0054884,Florence Barker
nm0334918,Francis J. Grandon
nm0644728,Charles Ogle
nm0205986,J. Searle Dawley
nm0041858,Edwin August
nm0922044,Dorothy West
nm0713223,Charles Raymond
nm0288616,Frank Powell
nm0910400,Henry B. Walthall
nm0556953,Shirley Mason
nm0199087,Viola Dana
nm0587929,Ashley Miller
nm0496941,Carey Lee
nm0186345,Frank Hall Crane
nm0099754,Arthur Bourchier
nm0002504,Herbert Beerbohm Tree
nm0072493,Frank R. Benson
nm0294276,Theo Frenkel
nm0190516,James Cruze
nm0681927,Jack Pickford
nm0656425,Alfred Paget
nm0524306,Wilfred Lucas
nm0306947,Helen Gardner
nm0309130,Charles L. Gaskill
nm0376529,Lucius Henderson
nm0624470,Pola Negri
nm0417837,Emil Jannings
nm0523932,Ernst Lubitsch
nm0290066,Alec B. Francis
nm0036048,Étienne Arnaud
nm0085133,Herbert Blaché
nm0299761,Olaf Fønss
nm0088881,August Blom
nm0366008,Robert Harron
nm0002503,Harry Carey
nm0051445,Gertrude Bambrick
nm0534259,Murdock MacQuarrie
nm0325448,Joseph A. Golden
nm0007215,King Baggot
nm0186232,Howard Crampton
nm0107543,Herbert Brenon
nm0000859,Lionel Barrymore
nm0687575,Hay Plumb
nm0635667,Mabel Normand
nm0827509,Ford Sterling
nm0169088,Nick Cogley
nm0391847,Helen Holmes
nm0267638,Dot Farley
nm0047889,Leah Baird
nm0665163,Giovanni Pastrone
nm0532996,Hayward Mack
nm0681933,Mary Pickford
nm0526921,Ignazio Lupi
nm0345500,Enrico Guazzoni
nm0878799,Dallas Tyler
nm0269265,Martin Faust
nm0002118,Alan Hale
nm0408932,Harrish Ingraham
nm0950148,W.W. Young
nm0329573,Fred Goodwins
nm0035627,Billy Armstrong
nm0045800,Lloyd Bacon
nm0001273,Lillian Gish
nm0178270,Miriam Cooper
nm0758457,Monroe Salisbury
nm0001196,Douglas Fairbanks
nm0933805,Margery Wilson
nm0127511,Christy Cabanne
nm0121112,Eugen Burg
nm0954673,Frederic Zelnik
nm2542573,Willy Zeyn
nm0366586,William S. Hart
nm0712776,Charles Ray
nm0475706,Kisaburô Kurihara
nm0159725,Benjamin Christensen
nm0412274,Jon Iversen
nm0624714,Marshall Neilan
nm0646058,Sidney Olcott
nm0916665,Lois Weber
nm0806565,Phillips Smalley
nm0432216,Rupert Julian
nm0268422,Adele Farrington
nm0534288,Henry MacRae
nm0911959,Ernest C. Warde
nm0171887,Constance Collier
nm0014894,Spottiswoode Aitken
nm0256221,John Emerson
nm0624735,James Neill
nm0369058,Raymond Hatton
nm0949648,James Young
nm0692897,William Postance
nm0077928,Arthur Berthelet
nm0516001,Harold Lloyd
nm0199841,Bebe Daniels
nm0689444,'Snub' Pollard
nm0332531,Alfred J. Goulding
nm0000847,Theda Bara
nm0356159,Thurston Hall
nm0250053,J. Gordon Edwards
nm0074788,Henry Bergman
nm0151606,Lon Chaney
nm0208657,Joseph De Grasse
nm0167032,Gustav von Seyffertitz
nm0897085,Robert G. Vignola
nm0458837,Joseph Klein
nm0407778,Eugen Illés
nm0450075,Dezsõ Kertész
nm0272138,Emil Fenyvessy
nm0304843,Márton Garas
nm0000779,Roscoe 'Fatty' Arbuckle
nm0000036,Buster Keaton
nm0820607,Al St. John
nm0147070,Glen Cavender
nm0242512,Bobby Dunn
nm0189056,Zelda Crosby
nm0378555,Holmes Herbert
nm0869665,Maurice Tourneur
nm0464137,Henry Kolker
nm0135052,Albert Capellani
nm0461295,Harley Knoles
nm0168595,Lew Cody
nm0428059,F. Richard Jones
nm0643048,Wheeler Oakman
nm0115218,Tod Browning
nm0446769,Paul Kelly
nm0853336,William Desmond Taylor
nm0449857,J. Warren Kerrigan
nm0933773,Lois Wilson
nm0903628,Gayne Whitman
nm0373614,Thomas N. Heffron
nm0782999,Norman Selby
nm0001932,Richard Barthelmess
nm0187981,Donald Crisp
nm0073239,George Beranger
nm0829795,Roy Stewart
nm0769554,Betty Schade
nm0196820,Lil Dagover
nm0560960,Meinhart Maur
nm0000485,Fritz Lang
nm0006276,Victor Schertzinger
nm0891998,Conrad Veidt
nm0270415,Friedrich Feher
nm0927468,Robert Wiene
nm0052217,Monty Banks
nm0696985,Kate Price
nm0001124,Cecil B. DeMille
nm0491048,Stan Laurel
nm0038884,Max Asher
nm1419257,Mel Brown
nm0932134,Robin Williamson
nm0357872,Gilbert P. Hamilton
nm0154352,Emile Chautard
nm0322170,Louise Glaum
nm0601596,Matt Moore
nm0828381,Edwin Stevens
nm0601706,Pat Moore
nm0744504,Arthur Rosson
nm0332024,John Gottowt
nm0921244,Hans Werckmeister
nm0691995,Henny Porten
nm0281487,Dave Fleischer
nm0102783,Bertram Bracken
nm0000858,John Barrymore
nm0731910,John S. Robertson
nm0370746,J. Charles Haydon
nm0321934,Gaston Glass
nm0097648,Frank Borzage
nm0000891,Wallace Beery
nm0066024,Barbara Bedford
nm0113284,Clarence Brown
nm0166836,Edward F. Cline
nm0417017,Wharton James
nm0694260,Paul Powell
nm0385171,Lambert Hillyer
nm0191899,Irving Cummings
nm0824332,Myrtle Stedman
nm0629243,Fred Niblo
